State Name,State Abbr,County Name,Has Airport,Has Ferry Terminal,Has Train Station
Minnesota,MN,Faribault County,0,0,0
Tennessee,TN,Grainger County,0,0,0
Texas,TX,Freestone County,0,0,1
Pennsylvania,PA,Mifflin County,0,0,1
Alabama,AL,Crenshaw County,0,0,0
Virginia,VA,Bristol City,0,0,0
Texas,TX,Runnels County,0,0,0
Texas,TX,Terrell County,0,0,1
Kansas,KS,Rawlins County,0,0,0
Kansas,KS,Thomas County,0,0,0
Georgia,GA,Jeff Davis County,0,0,0
Iowa,IA,Cherokee County,0,0,0
Arkansas,AR,White County,0,0,0
Mississippi,MS,Leflore County,0,0,1
Missouri,MO,Cooper County,0,0,0
Michigan,MI,Dickinson County,1,0,1
Illinois,IL,Will County,0,0,1
Texas,TX,Deaf Smith County,0,0,0
South Dakota,SD,Brookings County,0,0,0
Missouri,MO,Clay County,1,0,1
Mississippi,MS,Coahoma County,0,0,0
Indiana,IN,Boone County,0,0,0
